"NodeID","level","feature","label","hasChild","relationOp","relationValue","trueNode","falseNode"
1,0,"Block Size ",,1,"<=",0.354839,2,3
2,1,"Issued Warp Per Scheduler ",,1,"<=",0.012658,4,5
4,2,"DtoH ",,1,"<=",0.006829,6,7
6,3,"Executed Ipc Elapsed ",,1,"<=",0.000000,8,9
8,4,"GPUPagePault ",,1,"<=",0.000743,10,11
10,5,"Waves Per SM ",,1,"<=",0.000000,12,13
12,6,"GPUPagePault ",,1,"<=",0.000149,14,15
14,7,"",0,0,"",,,
15,7,"",4,0,"",,,
13,6,"",1,0,"",,,
11,5,"",0,0,"",,,
9,4,"Threads ",,1,"<=",0.000053,16,17
16,5,"Threads ",,1,"<=",0.000019,18,19
18,6,"CPUPageFault ",,1,"<=",0.000000,20,21
20,7,"",0,0,"",,,
21,7,"",1,0,"",,,
19,6,"",1,0,"",,,
17,5,"",0,0,"",,,
7,3,"DtoH ",,1,"<=",0.008780,22,23
22,4,"",3,0,"",,,
23,4,"",0,0,"",,,
5,2,"CPUPageFault ",,1,"<=",0.031250,24,25
24,3,"GPUPagePault ",,1,"<=",0.001486,26,27
26,4,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000368,28,29
28,5,"DtoH ",,1,"<=",0.083902,30,31
30,6,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000288,32,33
32,7,"CPUPageFault ",,1,"<=",0.003906,34,35
34,8,"GPUPagePault ",,1,"<=",0.000594,36,37
36,9,"Threads ",,1,"<=",0.000309,38,39
38,10,"Executed Ipc Elapsed ",,1,"<=",0.018576,40,41
40,11,"Executed Ipc Elapsed ",,1,"<=",0.015480,42,43
42,12,"",0,0,"",,,
43,12,"",2,0,"",,,
41,11,"DtoH ",,1,"<=",0.006829,44,45
44,12,"DtoH ",,1,"<=",0.002927,46,47
46,13,"Threads ",,1,"<=",0.000214,48,49
48,14,"CPUPageFault ",,1,"<=",0.000000,50,51
50,15,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000034,52,53
52,16,"",2,0,"",,,
53,16,"",1,0,"",,,
51,15,"",3,0,"",,,
49,14,"GPUPagePault ",,1,"<=",0.000149,54,55
54,15,"",5,0,"",,,
55,15,"",1,0,"",,,
47,13,"",2,0,"",,,
45,12,"",3,0,"",,,
39,10,"DtoH ",,1,"<=",0.030244,56,57
56,11,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000264,58,59
58,12,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000177,60,61
60,13,"DtoH ",,1,"<=",0.009756,62,63
62,14,"DtoH ",,1,"<=",0.002927,64,65
64,15,"GPUPagePault ",,1,"<=",0.000149,66,67
66,16,"CPUPageFault ",,1,"<=",0.000000,68,69
68,17,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000137,70,71
70,18,"Executed Ipc Elapsed ",,1,"<=",0.034056,72,73
72,19,"",1,0,"",,,
73,19,"",0,0,"",,,
71,18,"",1,0,"",,,
69,17,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000138,74,75
74,18,"",3,0,"",,,
75,18,"",0,0,"",,,
67,16,"",1,0,"",,,
65,15,"Executed Ipc Elapsed ",,1,"<=",0.040248,76,77
76,16,"",2,0,"",,,
77,16,"",3,0,"",,,
63,14,"HtoD ",,1,"<=",0.000946,78,79
78,15,"",5,0,"",,,
79,15,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000092,80,81
80,16,"GPUPagePault ",,1,"<=",0.000297,82,83
82,17,"",6,0,"",,,
83,17,"",0,0,"",,,
81,16,"",6,0,"",,,
61,13,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000240,84,85
84,14,"CPUPageFault ",,1,"<=",0.000000,86,87
86,15,"Executed Ipc Elapsed ",,1,"<=",0.043344,88,89
88,16,"",6,0,"",,,
89,16,"",1,0,"",,,
87,15,"",1,0,"",,,
85,14,"GPUPagePault ",,1,"<=",0.000000,90,91
90,15,"",6,0,"",,,
91,15,"",2,0,"",,,
59,12,"CPUPageFault ",,1,"<=",0.000000,92,93
92,13,"",0,0,"",,,
93,13,"HtoD ",,1,"<=",0.004196,94,95
94,14,"",1,0,"",,,
95,14,"",0,0,"",,,
57,11,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000177,96,97
96,12,"",2,0,"",,,
97,12,"Executed Ipc Elapsed ",,1,"<=",0.043344,98,99
98,13,"",5,0,"",,,
99,13,"",0,0,"",,,
37,9,"DtoH ",,1,"<=",0.003902,100,101
100,10,"",5,0,"",,,
101,10,"",0,0,"",,,
35,8,"CPUPageFault ",,1,"<=",0.007813,102,103
102,9,"GPUPagePault ",,1,"<=",0.001189,104,105
104,10,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000092,106,107
106,11,"",1,0,"",,,
107,11,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000107,108,109
108,12,"",0,0,"",,,
109,12,"",1,0,"",,,
105,10,"",0,0,"",,,
103,9,"",0,0,"",,,
33,7,"GPUPagePault ",,1,"<=",0.000000,110,111
110,8,"",6,0,"",,,
111,8,"",5,0,"",,,
31,6,"CPUPageFault ",,1,"<=",0.010417,112,113
112,7,"HtoD ",,1,"<=",0.001709,114,115
114,8,"",6,0,"",,,
115,8,"",2,0,"",,,
113,7,"CPUPageFault ",,1,"<=",0.011719,116,117
116,8,"Executed Ipc Elapsed ",,1,"<=",0.043344,118,119
118,9,"",2,0,"",,,
119,9,"",1,0,"",,,
117,8,"CPUPageFault ",,1,"<=",0.014323,120,121
120,9,"GPUPagePault ",,1,"<=",0.000594,122,123
122,10,"",6,0,"",,,
123,10,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000288,124,125
124,11,"HtoD ",,1,"<=",0.003601,126,127
126,12,"",1,0,"",,,
127,12,"",6,0,"",,,
125,11,"",1,0,"",,,
121,9,"",6,0,"",,,
29,5,"DtoH ",,1,"<=",0.000000,128,129
128,6,"GPUPagePault ",,1,"<=",0.000149,130,131
130,7,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000699,132,133
132,8,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000485,134,135
134,9,"",3,0,"",,,
135,9,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000624,136,137
136,10,"",0,0,"",,,
137,10,"",2,0,"",,,
133,8,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000864,138,139
138,9,"",4,0,"",,,
139,9,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000953,140,141
140,10,"",0,0,"",,,
141,10,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.001046,142,143
142,11,"",6,0,"",,,
143,11,"",3,0,"",,,
131,7,"GPUPagePault ",,1,"<=",0.001040,144,145
144,8,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.001006,146,147
146,9,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000928,148,149
148,10,"GPUPagePault ",,1,"<=",0.000743,150,151
150,11,"",3,0,"",,,
151,11,"CPUPageFault ",,1,"<=",0.006510,152,153
152,12,"",3,0,"",,,
153,12,"Avg. Executed Instructions Per Scheduler ",,1,"<=",0.000661,154,155
154,13,"",2,0,"",,,
